,Accuracy (Default),Accuracy (Tuned),Precision (Default),Precision (Tuned),Recall (Default),Recall (Tuned),F1 Score (Default),F1 Score (Tuned),AUC (Default),AUC (Tuned),Selected search method,Selected scaling method,timestamp
Naive Bayes,0.9210526315789473,0.9210526315789473,0.9230769230769231,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.9890873015873015,0.9890873015873015,grid,StandardScaler,2026-03-10 15:07:54
k-nearest neighbors algorithm,0.956140350877193,0.956140350877193,0.9743589743589743,0.9743589743589743,0.9047619047619048,0.9047619047619048,0.9382716049382716,0.9382716049382716,0.982308201058201,0.9834656084656084,grid,StandardScaler,2026-03-10 15:07:54
Logistic Regression,0.9649122807017544,0.9649122807017544,0.975,0.975,0.9285714285714286,0.9285714285714286,0.9512195121951219,0.9512195121951219,0.996031746031746,0.996031746031746,grid,StandardScaler,2026-03-10 15:07:54
Ridge Classifier,0.9649122807017544,0.9649122807017544,1.0,1.0,0.9047619047619048,0.9047619047619048,0.95,0.95,0.9976851851851852,0.9976851851851852,grid,StandardScaler,2026-03-10 15:07:54
Linear Discriminant Analysis,0.9649122807017544,0.9649122807017544,1.0,1.0,0.9047619047619048,0.9047619047619048,0.95,0.95,0.9970238095238095,0.9983465608465609,grid,StandardScaler,2026-03-10 15:07:54
Quadratic Discriminant Analysis,0.9385964912280702,0.9385964912280702,0.972972972972973,0.972972972972973,0.8571428571428571,0.8571428571428571,0.9113924050632911,0.9113924050632911,0.996031746031746,0.996362433862434,grid,StandardScaler,2026-03-10 15:07:54
Decision Tree,0.9298245614035088,0.9035087719298246,0.9047619047619048,0.8780487804878049,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.8674698795180723,0.9246031746031745,0.937665343915344,grid,StandardScaler,2026-03-10 15:07:54
Support vector machine,0.9736842105263158,0.9824561403508771,1.0,1.0,0.9285714285714286,0.9523809523809523,0.9629629629629629,0.975609756097561,0.9947089947089947,0.9963624338624338,grid,StandardScaler,2026-03-10 15:07:54
Random Forest,0.9736842105263158,0.9736842105263158,1.0,1.0,0.9285714285714286,0.9285714285714286,0.9629629629629629,0.9629629629629629,0.9928902116402116,0.9940476190476191,grid,StandardScaler,2026-03-10 15:07:54
Extra Trees,0.9736842105263158,0.9649122807017544,1.0,1.0,0.9285714285714286,0.9047619047619048,0.9629629629629629,0.95,0.9988425925925926,0.9986772486772487,grid,StandardScaler,2026-03-10 15:07:54
AdaBoost,0.9824561403508771,0.9736842105263158,1.0,1.0,0.9523809523809523,0.9285714285714286,0.975609756097561,0.9629629629629629,0.9841269841269842,0.9871031746031745,grid,StandardScaler,2026-03-10 15:07:54
Gradient Boosting,0.9649122807017544,0.9649122807017544,1.0,1.0,0.9047619047619048,0.9047619047619048,0.95,0.95,0.9947089947089948,0.9953703703703705,grid,StandardScaler,2026-03-10 15:07:54
eXtreme Gradient Boosting,0.9736842105263158,0.9736842105263158,1.0,1.0,0.9285714285714286,0.9285714285714286,0.9629629629629629,0.9629629629629629,0.9940476190476191,0.9907407407407408,grid,StandardScaler,2026-03-10 15:07:54
