iter	Passed	Remaining
0	0	94
1	0	84
2	1	78
3	1	77
4	1	75
5	2	74
6	2	73
7	3	72
8	3	72
9	3	71
10	4	71
11	4	72
12	5	76
13	5	75
14	6	74
15	6	73
16	6	72
17	7	71
18	7	70
19	7	70
20	8	69
21	8	68
22	8	68
23	9	67
24	9	67
25	9	66
26	10	65
27	10	65
28	10	64
29	11	64
30	11	64
31	12	63
32	12	63
33	13	63
34	13	63
35	13	62
36	14	62
37	14	62
38	15	62
39	15	61
40	15	61
41	16	60
42	16	60
43	16	60
44	17	59
45	17	59
46	18	58
47	18	58
48	18	58
49	19	57
50	19	57
51	19	56
52	20	56
53	20	56
54	21	56
55	21	56
56	22	55
57	22	55
58	23	55
59	23	54
60	23	54
61	24	53
62	24	53
63	25	53
64	25	52
65	25	52
66	26	52
67	26	51
68	26	51
69	27	50
70	27	50
71	28	50
72	28	49
73	28	49
74	29	48
75	29	48
76	29	47
77	30	47
78	30	47
79	31	46
80	31	46
81	31	45
82	32	45
83	32	45
84	32	44
85	33	44
86	33	43
87	34	43
88	34	42
89	34	42
90	35	42
91	35	41
92	35	41
93	36	41
94	37	41
95	37	40
96	37	40
97	38	39
98	38	39
99	39	39
100	39	38
101	39	38
102	40	37
103	40	37
104	41	37
105	41	36
106	41	36
107	42	35
108	42	35
109	42	35
110	43	34
111	43	34
112	43	33
113	44	33
114	44	33
115	44	32
116	45	32
117	45	31
118	46	31
119	46	30
120	46	30
121	47	30
122	47	29
123	47	29
124	48	29
125	48	28
126	49	28
127	49	27
128	50	27
129	50	27
130	50	26
131	51	26
132	51	25
133	51	25
134	52	25
135	53	24
136	53	24
137	54	24
138	54	23
139	54	23
140	55	23
141	55	22
142	55	22
143	56	21
144	56	21
145	57	21
146	57	20
147	57	20
148	58	19
149	58	19
150	58	19
151	59	18
152	59	18
153	60	17
154	60	17
155	60	17
156	61	16
157	61	16
158	61	15
159	62	15
160	62	15
161	63	14
162	63	14
163	63	14
164	64	13
165	64	13
166	64	12
167	65	12
168	65	12
169	66	11
170	66	11
171	66	10
172	67	10
173	67	10
174	68	9
175	69	9
176	69	9
177	69	8
178	70	8
179	70	7
180	71	7
181	71	7
182	71	6
183	72	6
184	72	5
185	72	5
186	73	5
187	73	4
188	73	4
189	74	3
190	74	3
191	74	3
192	75	2
193	75	2
194	76	1
195	76	1
196	76	1
197	77	0
198	77	0
199	77	0
